angle_of_attack,cl,cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-0.205076,-0.7375,0.05384,0.04943,-0.0813,1.0000,0.0385
-0.200713,-0.7689,0.05201,0.04755,-0.0769,1.0000,0.0384
-0.196350,-0.7971,0.05069,0.04619,-0.0712,1.0000,0.0382
-0.191986,-0.8277,0.04848,0.04379,-0.0661,1.0000,0.0383
-0.187623,-0.8374,0.04420,0.03894,-0.0664,0.9950,0.0386
-0.183260,-0.8169,0.04161,0.03631,-0.0680,0.9903,0.0394
-0.178896,-0.7937,0.03954,0.03411,-0.0696,0.9853,0.0403
-0.174533,-0.7731,0.03727,0.03158,-0.0707,0.9799,0.0412
-0.170170,-0.7534,0.03485,0.02878,-0.0714,0.9739,0.0422
-0.165806,-0.7325,0.03256,0.02598,-0.0718,0.9685,0.0435
-0.161443,-0.7092,0.03086,0.02420,-0.0721,0.9627,0.0447
-0.157080,-0.6756,0.02980,0.02308,-0.0740,0.9591,0.0468
-0.152716,-0.6540,0.02864,0.02163,-0.0735,0.9524,0.0489
-0.148353,-0.6244,0.02743,0.02044,-0.0745,0.9476,0.0513
-0.143990,-0.5888,0.02639,0.01923,-0.0764,0.9446,0.0546
-0.139626,-0.5690,0.02541,0.01819,-0.0752,0.9372,0.0572
-0.135263,-0.5366,0.02469,0.01740,-0.0764,0.9325,0.0615
-0.130900,-0.4995,0.02383,0.01655,-0.0784,0.9298,0.0666
-0.126536,-0.4791,0.02317,0.01574,-0.0771,0.9218,0.0713
-0.122173,-0.4464,0.02256,0.01515,-0.0782,0.9172,0.0776
-0.117810,-0.4082,0.02189,0.01448,-0.0803,0.9144,0.0858
-0.113446,-0.3840,0.02138,0.01396,-0.0796,0.9075,0.0933
-0.109083,-0.3535,0.02083,0.01338,-0.0801,0.9020,0.1026
-0.104720,-0.3151,0.02029,0.01278,-0.0821,0.8990,0.1135
-0.100356,-0.2735,0.01984,0.01226,-0.0846,0.8971,0.1244
-0.095993,-0.2550,0.01944,0.01196,-0.0828,0.8878,0.1318
-0.091630,-0.2176,0.01887,0.01133,-0.0844,0.8843,0.1420
-0.087266,-0.1751,0.01840,0.01079,-0.0871,0.8820,0.1528
-0.082903,-0.1301,0.01774,0.01020,-0.0904,0.8803,0.1643
-0.078540,-0.1107,0.01743,0.00986,-0.0885,0.8708,0.1729
-0.074176,-0.0706,0.01700,0.00939,-0.0907,0.8669,0.1852
-0.069813,-0.0277,0.01635,0.00880,-0.0935,0.8640,0.1983
-0.065450,-0.0012,0.01596,0.00844,-0.0930,0.8562,0.2093
-0.061087,0.0329,0.01553,0.00799,-0.0940,0.8498,0.2232
-0.056723,0.0755,0.01501,0.00748,-0.0966,0.8458,0.2401
-0.052360,0.0966,0.01478,0.00729,-0.0950,0.8355,0.2542
-0.047997,0.1345,0.01434,0.00686,-0.0968,0.8295,0.2742
-0.043633,0.1588,0.01408,0.00666,-0.0958,0.8197,0.2927
-0.039270,0.1923,0.01368,0.00632,-0.0967,0.8122,0.3162
-0.034907,0.2159,0.01343,0.00615,-0.0957,0.8020,0.3395
-0.030543,0.2480,0.01309,0.00586,-0.0962,0.7938,0.3714
-0.026180,0.2686,0.01284,0.00576,-0.0946,0.7828,0.4049
-0.021817,0.2987,0.01244,0.00554,-0.0948,0.7747,0.4586
-0.017453,0.3138,0.01214,0.00554,-0.0920,0.7628,0.5303
-0.013090,0.3355,0.01175,0.00551,-0.0902,0.7537,0.6413
-0.008727,0.3572,0.01144,0.00554,-0.0883,0.7430,0.7450
-0.004363,0.4150,0.01130,0.00564,-0.0937,0.7333,0.8585
0.000000,0.4946,0.01141,0.00568,-0.1038,0.7231,0.9166
0.004363,0.5482,0.01162,0.00580,-0.1087,0.7114,0.9448
0.008727,0.5978,0.01182,0.00585,-0.1128,0.7011,0.9650
0.013090,0.6477,0.01200,0.00592,-0.1171,0.6893,0.9823
0.017453,0.7041,0.01211,0.00592,-0.1231,0.6774,0.9950
0.021817,0.7431,0.01215,0.00581,-0.1256,0.6669,1.0000
0.026180,0.7571,0.01222,0.00583,-0.1230,0.6559,1.0000
0.030543,0.7759,0.01232,0.00584,-0.1213,0.6462,1.0000
0.034907,0.7938,0.01242,0.00586,-0.1193,0.6362,1.0000
0.039270,0.8120,0.01256,0.00594,-0.1174,0.6264,1.0000
0.043633,0.8324,0.01270,0.00598,-0.1159,0.6171,1.0000
0.047997,0.8501,0.01287,0.00611,-0.1139,0.6074,1.0000
0.052360,0.8721,0.01303,0.00617,-0.1127,0.5985,1.0000
0.056723,0.8891,0.01321,0.00635,-0.1105,0.5888,1.0000
0.061087,0.9120,0.01340,0.00642,-0.1094,0.5803,1.0000
0.065450,0.9285,0.01359,0.00662,-0.1071,0.5708,1.0000
0.069813,0.9520,0.01380,0.00672,-0.1062,0.5626,1.0000
0.074176,0.9683,0.01400,0.00695,-0.1038,0.5532,1.0000
0.078540,0.9915,0.01421,0.00705,-0.1029,0.5446,1.0000
0.082903,1.0062,0.01439,0.00727,-0.1002,0.5344,1.0000
0.087266,1.0274,0.01461,0.00740,-0.0988,0.5251,1.0000
0.091630,1.0425,0.01479,0.00761,-0.0962,0.5150,1.0000
0.095993,1.0635,0.01503,0.00779,-0.0948,0.5065,1.0000
0.100356,1.0794,0.01523,0.00801,-0.0923,0.4971,1.0000
0.104720,1.0997,0.01548,0.00822,-0.0908,0.4887,1.0000
0.109083,1.1153,0.01570,0.00846,-0.0884,0.4795,1.0000
0.113446,1.1343,0.01596,0.00867,-0.0867,0.4708,1.0000
0.117810,1.1495,0.01618,0.00893,-0.0841,0.4615,1.0000
0.122173,1.1671,0.01645,0.00918,-0.0821,0.4526,1.0000
0.126536,1.1814,0.01668,0.00942,-0.0795,0.4431,1.0000
0.130900,1.1962,0.01696,0.00971,-0.0770,0.4336,1.0000
0.135263,1.2108,0.01723,0.00996,-0.0745,0.4242,1.0000
0.139626,1.2209,0.01751,0.01028,-0.0711,0.4145,1.0000
0.143990,1.2351,0.01782,0.01051,-0.0685,0.4051,1.0000
0.148353,1.2409,0.01809,0.01087,-0.0643,0.3944,1.0000
0.152716,1.2523,0.01844,0.01120,-0.0614,0.3842,1.0000
0.157080,1.2622,0.01881,0.01155,-0.0582,0.3734,1.0000
0.161443,1.2709,0.01922,0.01201,-0.0549,0.3617,1.0000
0.165806,1.2802,0.01969,0.01246,-0.0519,0.3501,1.0000
0.170170,1.2893,0.02023,0.01294,-0.0489,0.3384,1.0000
0.174533,1.2965,0.02080,0.01356,-0.0458,0.3254,1.0000
0.178896,1.3029,0.02147,0.01422,-0.0427,0.3118,1.0000
0.183260,1.3091,0.02222,0.01496,-0.0397,0.2983,1.0000
0.187623,1.3140,0.02308,0.01578,-0.0367,0.2847,1.0000
0.191986,1.3186,0.02405,0.01669,-0.0338,0.2717,1.0000
0.196350,1.3239,0.02507,0.01769,-0.0312,0.2591,1.0000
0.200713,1.3299,0.02613,0.01877,-0.0289,0.2472,1.0000
0.205076,1.3354,0.02729,0.01992,-0.0266,0.2366,1.0000
0.209440,1.3393,0.02860,0.02116,-0.0243,0.2266,1.0000
0.213803,1.3456,0.02983,0.02245,-0.0224,0.2167,1.0000
0.218166,1.3500,0.03124,0.02382,-0.0204,0.2083,1.0000
0.222529,1.3557,0.03261,0.02525,-0.0187,0.1998,1.0000
0.226893,1.3601,0.03413,0.02676,-0.0171,0.1922,1.0000
0.231256,1.3648,0.03567,0.02834,-0.0155,0.1847,1.0000
0.235619,1.3688,0.03732,0.02999,-0.0141,0.1780,1.0000
0.239983,1.3728,0.03903,0.03178,-0.0128,0.1710,1.0000
0.244346,1.3757,0.04086,0.03358,-0.0115,0.1649,1.0000
0.248709,1.3789,0.04277,0.03561,-0.0105,0.1581,1.0000
0.253073,1.3802,0.04483,0.03759,-0.0093,0.1521,1.0000
0.257436,1.3824,0.04698,0.03990,-0.0086,0.1457,1.0000
0.261799,1.3820,0.04935,0.04223,-0.0078,0.1398,1.0000
0.266163,1.3824,0.05178,0.04478,-0.0072,0.1334,1.0000
0.270526,1.3808,0.05445,0.04746,-0.0067,0.1275,1.0000
0.274889,1.3796,0.05717,0.05026,-0.0063,0.1214,1.0000
0.279253,1.3767,0.06013,0.05326,-0.0060,0.1156,1.0000
0.283616,1.3738,0.06315,0.05632,-0.0058,0.1097,1.0000
0.287979,1.3703,0.06636,0.05959,-0.0059,0.1043,1.0000
0.292343,1.3678,0.06940,0.06264,-0.0058,0.0995,1.0000
0.296706,1.3640,0.07279,0.06612,-0.0061,0.0945,1.0000
0.301069,1.3615,0.07584,0.06910,-0.0062,0.0904,1.0000
0.305433,1.3587,0.07925,0.07266,-0.0066,0.0865,1.0000
0.309796,1.3568,0.08245,0.07590,-0.0070,0.0832,1.0000
0.314159,1.3575,0.08511,0.07852,-0.0069,0.0802,1.0000
0.318523,1.3555,0.08846,0.08200,-0.0075,0.0774,1.0000
0.322886,1.3549,0.09156,0.08516,-0.0080,0.0749,1.0000
0.327249,1.3582,0.09387,0.08740,-0.0080,0.0724,1.0000
0.331613,1.3572,0.09707,0.09072,-0.0086,0.0703,1.0000
0.335976,1.3551,0.10050,0.09428,-0.0094,0.0683,1.0000
