r_i (m)	chord (m)	pitch_angle (degrees)	twist (degrees)	a	a_p	flow_angle (degrees)	angle_of_attack (degrees)	Cl	Cd	Cn	Ct	a_new	a_p_new	Lift (N/m)	Drag (N/m)	pn (N/m)	pt (N/m)	counter	t/c ratio	dT (Ν)	dM (Nm)	Power (Watt)
2.8	5.38	14.5	0	0.12159697122230023	-0.12159697122230023	1.4540436027995272	-13.045956397200474	0.0	0.6	0.5959152835610941	-0.06989259487457003	0.12169407368164072	-0.12169407368164072	0.0	347.97115053172934	345.6022114003261	-40.53434442025364	21	100.0	3313.941204872015	-1088.3021095233428	-683.8003824329617
12.38888888888889	5.550158836179654	13.986507455485741	0	0.031007990910079115	0.015469577603635718	1.072698123296461	-12.913809332189281	0.3263705447083872	0.34966344437078983	0.4631021832737449	0.11966045557988059	0.03109122330028701	0.015482225224490996	303.7169382441936	325.3930615432958	430.957938694425	111.3547401469674	18	80.15517594586308	4132.407789925431	13228.461967002302	8311.687786765284
21.977777777777778	6.1329516821076435	9.483880506333868	0	0.00754967357689083	0.00253400973413123	0.8216749268849772	-8.66220557944889	0.11221353985041221	0.06460966255391824	0.12372977744282748	0.03817367149017261	0.007626989093203457	0.0025563124434516476	174.2038558789145	100.30208795598143	192.08202812524772	59.262017538239405	14	45.959390650249595	1841.8532252454308	12489.023901977807	7847.085148192163
31.566666666666666	6.033011693587563	6.581269254827764	0	-0.016581595533961012	-0.011191229863519277	0.660883683163218	-5.920385571664546	-0.3623539688865046	0.02493531438171987	-0.27075472207406026	-0.24210338524216374	-0.016667373686641722	-0.01126947412019957	-826.3531651101932	56.86532432822859	-617.4598342111972	-552.1200700341094	15	33.25730068197588	-5920.753743602922	-167120.81502079495	-105005.10494625365
41.15555555555555	5.4488380891879205	4.750560076402463	0	-0.012491873244934917	-0.004813252189404976	0.5331529018377985	-4.217407174564665	-0.24320455284952833	0.013080993654006653	-0.2028014921056071	-0.134874466528897	-0.012562996939471362	-0.004846072872930457	-724.7538532778011	38.98159160412351	-604.3520202722692	-401.9282870336919	15	28.017818839098936	-5795.064372166315	-158615.39133013858	-99660.9896298067
50.74444444444444	4.669510447136503	2.8176314443192916	0	0.0016186830125162527	5.311849447245459e-05	0.4390936126213874	-2.378537831697904	0.02646165743235148	0.010256026940994045	0.028311469012605374	0.0019662464316061064	0.0017177441961612626	5.613081178368866e-05	93.91790265559479	36.400763721618496	100.48326706519816	6.9786158116734	9	25.27473814764537	963.5228830807338	3395.674697466717	2133.5653367084365
60.33333333333333	3.8489509317356005	0.8737274320836022	0	0.014722480293696945	0.0020438135714175034	0.37104718864552105	-0.502680243438081	0.2747511492288632	0.009333515930642352	0.2594380806469535	0.09092409379495321	0.014804280861870458	0.002053178754647376	1076.0991264026604	36.55594659901946	1016.1234729075378	356.1162098004577	16	24.22359959360282	9743.49507910228	206023.7789609663	129448.55808971584
69.92222222222222	3.072603174711508	-0.7903785545035256	0	0.023337717089575147	0.002481071532668271	0.32111948124507655	1.1114980357486022	0.476702491888484	0.0093112458291287	0.45527363358872586	0.14162585791619836	0.023410114116551046	0.0024865908912285574	1932.7581005044183	37.751818184844744	1845.8762398719223	574.212488472693	18	24.100224185691236	17699.902166771866	384995.93344868143	241900.0792368645
79.5111111111111	2.375230512463695	-2.190818241885963	0	0.027448802458217562	0.0022721931369793567	0.2834993610801647	2.474317602966128	0.6444244515110463	0.009518579512707244	0.6213631393767857	0.1711178719043623	0.027538447135747456	0.0022772731918890873	2550.078300734755	37.66635951236413	2458.821441187983	677.1375154807325	18	24.10000026453943	23577.365597169224	516265.3580806476	324379.09124981327
89.1	0.6536951632363664	-3.4215159462406164	0	0.010056830240944455	0.0006791528441599659	0.25910458938230385	3.6806205356229205	0.7912315191853094	0.00982015513390573	0.7673361120117234	0.1932331327745803	0.010132857928668738	0.0006837493836153168	1064.0901777215572	13.206666276958176	1031.9543648153033	259.8701816220746	15	24.1	0.0	0.0	0.0
